Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
94094791,4/4/2020 12:13,4/4/2020 14:14,70251,7244,1019,42nd St & Butler St,1019,42nd St & Butler St,Customer
94098281,4/4/2020 14:54,4/4/2020 16:06,70251,4346,1019,42nd St & Butler St,1019,42nd St & Butler St,Customer
94100302,4/4/2020 22:08,4/4/2020 22:38,70248,1804,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
94142945,4/6/2020 17:22,4/6/2020 18:51,70248,5363,49651,Grant St & Strawberry Way,49651,Grant St & Strawberry Way,Customer
94165572,4/7/2020 19:31,4/8/2020 12:56,70379,62691,1018,Butler St & Stanton Ave,1018,Butler St & Stanton Ave,Customer
94176953,4/8/2020 9:55,4/8/2020 9:58,70035,180,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
94293733,4/12/2020 17:54,4/12/2020 19:01,70376,4048,1084,Hot Metal St & Tunnel Blvd,1084,Hot Metal St & Tunnel Blvd,Customer
94324049,4/14/2020 16:21,4/14/2020 16:29,70338,484,,BIKE 70338,1061,33rd St & Penn Ave ,Subscriber
94371290,4/16/2020 18:20,4/17/2020 13:15,70290,68094,1000,Liberty Ave & Stanwix St,,BIKE 70290,Customer
94448948,4/19/2020 14:35,4/20/2020 12:39,70288,79405,1068,Forbes Ave & Murray Ave,49301,Centre Ave & N Craig St,Customer
94449865,4/19/2020 15:30,4/19/2020 15:32,70628,161,,BIKE 70628,1061,33rd St & Penn Ave ,Customer
94460529,4/20/2020 9:01,4/20/2020 9:02,70678,107,,BIKE 70678,,BIKE 70678,Customer
94601453,4/25/2020 10:22,4/25/2020 10:24,70048,141,49951,Butler St & 36th St,49951,Butler St & 36th St,Customer
94710896,4/29/2020 11:59,4/29/2020 12:03,70241,218,,BIKE 70241,1061,33rd St & Penn Ave ,Customer
94712052,4/29/2020 12:28,4/29/2020 12:32,70048,221,49951,Butler St & 36th St,49951,Butler St & 36th St,Customer
